Nom 1|Nom 2|Nom latin|Nom anglais|Ordre:famille|Taille|Catégorie|Catégorie2|Bec forme|Bec couleur|bec couleur 2|Pattes|pattes couleur 2|Signe distinctif|Couleur dominante|Tache de couleur|Commentaires|Habitat et comportement Répartition géographique|Habitat1|Habitat2|Scientifique2|FIN
Aigrette garzette||Egretta garzetta|Little Egret|PELECANIFORMES: Ardeidae|56|Grands échassiers||droit et long|noir||noir|jaune||blanc||Echassier entièrement blanc, avec les pattes noires, et les doigts jaunes. Le bec, fin et long, est noir également.||Bords de rivières, zones humides|||FIN
Alouette calandre||Melanocorypha calandra|Calandra Lark|PASSERIFORMES: Alaudidae|18|Passereaux||autres becs droits|||||||noir|Dos brun, ventre blanc, joues brunes surlignées de blanc. Gorge blanche avec une tache noire. Bec conique jaunâtre.|France (midi), en Espagne, au Portugal et en Italie|Milieu méditerranéen|||FIN
Alouette calandrelle||Calandrella brachydactyla|Greater Short-toed Lark|PASSERIFORMES: Alaudidae|13|Passereaux||autres becs droits||||||brun||Dos brun et ventre blanc. Sourcil blanc. Bec conique brunâtre.||Milieu méditerranéen|||FIN
Alouette des champs||Alauda arvensis|Sky Lark|PASSERIFORMES: Alaudidae|18|Passereaux||fin et court|||||huppe|brun||Dos brun, ventre blanc, zone blanche sous le bec, gorge mouchetée de noir et un sourcil blanc plus ou moins prononcé. Huppe pas toujours visible.||Champs et bocages|||FIN
Alouette hausse-col||Eremophila alpestris|Horned Lark|PASSERIFORMES: Alaudidae|15|Passereaux||fin et court|noir||noir|||brun|noir|Dos gris brun, ventre blanc. Petites cornes noires sur la tête, bande noire au niveau de l'oeil et de la gorge. Tache jaune plus ou moins marquée sous le bec noir. Pattes noires.||Toundra|Littoral||FIN
Alouette lulu||Lullula arborea|Wood Lark|PASSERIFORMES: Alaudidae|15|Passereaux||fin et court||||||brun||Dos brun, ventre blanc, gorge mouchetée. Sourcils blancs qui vont jusqu'à la nuque. Très légère houppe sur l'arrière de la tête.||Forêts et landes|Champs et bocages||FIN
Arlequin plongeur|Garrot arlequin|Histrionicus histrionicus|Harlequin Duck|ANSERIFORMES: Anatidae|56|Cygnes, oies, canards||canard|noir|||||gris|blanc|Cou, tête et dos gris bleu. Flancs roux. Tache blanche autour de l'oeil. La femelle est brune, avec une tache blanche derrière l'oeil.|En Europe, se rencontre essentiellement en Islande.|Littoral|Bords de rivières, zones humides||FIN
Autour des palombes||Accipiter gentilis|Northern Goshawk|ACCIPITRIFORMES: Accipitridae|55|Rapaces||crochu|noir||jaune|||gris||Dos gris brun, ventre pâle strié horizontalement, ailes et queue rayés de noir, tête grise avec une calotte sombre et un sourcil blanc. Bec crochu à base jaune et à bout noir. Pattes jaunes.||Champs et bocages|Forêts et landes||FIN
Avocette élégante||Recurvirostra avosetta|Pied Avocet|CHARADRIIFORMES: Recurvirostridae|43|Limicoles||courbé|noir||gris|||blanc|noir|Corps blanc, calotte et nuque noires, taches noires sur les ailes noir. Long bec noir, fin et courbé, longues pattes grises.|Zones littorales : marais salants, estuaires, baies. Migration partielle : la plupart des avocettes passent l'hiver en Afrique, mais certaines hivernent sur la côte Atlantique (sud de l'Angleterre, France, Espagne).|Littoral|Bords de rivières, zones humides||FIN
Balbuzard pêcheur||Pandion haliaetus|Osprey|ACCIPITRIFORMES: Pandionidae|55|Rapaces||crochu|noir|||||brun|blanc|Dos brun sombre, ventre blanc. Tête blanche avec une bande gris-brun sur l'œil. Bec crochu noir. Pattes couvertes de plumes blanches, aux serres puissantes.||Bords de rivières, zones humides|||FIN
Barge à queue noire||Limosa limosa|Black-tailed Godwit|CHARADRIIFORMES: Scolopacidae|41|Limicoles||droit et long|noir|rouge/orange|noir|||brun|rouge/orange|Dos brun gris, tête et cou roux, ventre pâle strié de noir, queue noire. Long bec fin orangé à bout noir, longues pattes noires. Les parties rousses deviennent grises l'hiver.||Bords de rivières, zones humides|Littoral||FIN
Barge rousse||Limosa lapponica|Bar-tailed Godwit|CHARADRIIFORMES: Scolopacidae|38|Limicoles||droit et long|||noir|||rouge/orange||Dos brun moucheté de noir (écailles), ventre et tête roux l'été. Long bec fin et noir, pattes noires. L'hiver, les parties brunes et rousses virent au gris, et un sourcil blanc apparaît.||Toundra|Littoral||FIN
Bec-croisé bifascié||Loxia leucoptera|White-winged Crossbill|PASSERIFORMES: Fringillidae|14|Passereaux||crochu|noir||noir|||rouge/orange||Chez le mâle, tête rouge, ventre rouge pâle, dos gris-rouge, ailes noires avec deux bandes blanches qui le distingue des autres bec-croisé. Chez la femelle, les parties rouges sont jaunâtres. Pattes noires et bec crochu noir (les parties supérieure et inférieure du bec sont toutes les deux crochues et se croisent).|Europe du Nord|Forêts et landes|||FIN
Bec-croisé d'Écosse||Loxia scotica|Scottish Crossbill|PASSERIFORMES: Fringillidae|16|Passereaux||crochu|noir||noir|||rouge/orange||Chez le mâle, tête rouge, ventre rouge pâle, dos gris-rouge, ailes noires. Chez la femelle, les parties rouges sont jaunâtres. Pattes noires et bec crochu noir (les parties supérieure et inférieure du bec sont toutes les deux crochues et se croisent).|Seulement en Ecosse.|Forêts et landes|||FIN
Bec-croisé des sapins||Loxia curvirostra|Red Crossbill|PASSERIFORMES: Fringillidae|16|Passereaux||crochu|noir||noir|||rouge/orange||Chez le mâle, tête rouge, ventre rouge pâle, dos gris-rouge, ailes noires. Chez la femelle, les parties rouges sont jaunâtres. Pattes noires et bec crochu noir (les parties supérieure et inférieure du bec sont toutes les deux crochues et se croisent). ||Forêts et landes|||FIN
Bec-croisé perroquet||Loxia pytyopsittacus|Parrot Crossbill|PASSERIFORMES: Fringillidae|17|Passereaux||crochu||||||rouge/orange||Chez le mâle, tête rouge, ventre rouge pâle, dos gris-rouge, ailes noires. Chez la femelle, les parties rouges sont jaunâtres. Pattes noires et bec crochu noir (les parties supérieure et inférieure du bec sont toutes les deux crochues et se croisent). Le bec est plus fort que chez les autres bec-croisé.|Nord de l'Europe.|Forêts et landes|||FIN
Bécasse des bois||Scolopax rusticola|Eurasian Woodcock|CHARADRIIFORMES: Scolopacidae|34|Limicoles||droit et long||||||brun|noir|Dos brun couleur de feuillage, ventre pâle strié horizontalement. Taches noires sur la tête, long bec fin et noirâtre.||Forêts et landes|||FIN
Bécasseau cocorli||Calidris ferruginea|Curlew Sandpiper|CHARADRIIFORMES: Scolopacidae|19|Limicoles||courbé|noir||noir|||brun|rouge/orange|Tête et ventre couleur de rouille en été, avec un dos moucheté brun roux, noir et blanc. En hiver, dos gris et ventre blanc. Très long bec fin et noir, légèrement courbé, pattes noires.||Bords de rivières, zones humides|Toundra||FIN
Bécasseau de Temminck||Calidris temminckii|Temminck's Stint|CHARADRIIFORMES: Scolopacidae|14|Limicoles||autres becs droits|noir|||||brun||Dos, tête et gorge bruns, ventre blanc. Le dos est légèrement moucheté de noir. En hiver, les parties brunes deviennent grises. Bec fin, long et noir. Pattes jaunes à orangé.||Bords de rivières, zones humides|||FIN
Bécasseau falcinelle||Limicola falcinellus|Broad-billed Sandpiper|CHARADRIIFORMES: Scolopacidae|16|Limicoles||courbé||||||brun||En été, dos brun moucheté de noir, calotte brune avec une bande blanche sur l'oeil. Ventre et gorge pâles. Les parties brunes deviennent grises en hiver. Long bec plus épais que chez les autres bécasseaux, très légèrement courbé au bout.||Bords de rivières, zones humides|||FIN
Bécasseau maubèche||Calidris canutus|Red Knot|CHARADRIIFORMES: Scolopacidae|25|Limicoles||autres becs droits|noir||||||rouge/orange|En hiver, dos gris et ventre blanc. En été, le ventre et les joues deviennent roux, le dos est gris-brun, tacheté de noir et de blanc (écailles). Long bec fin et noir, pattes noires.||Littoral|Toundra||FIN
Bécasseau minute||Calidris minuta|Little Stint|CHARADRIIFORMES: Scolopacidae|13|Limicoles||autres becs droits|noir||noir|||brun||Dos brun, moucheté de noir et de blanc (écailles), tête brun noirâtre, léger sourcil blanc. Dos gris en hiver. Long bec fin et noir et pattes noirâtres.||Littoral|Bords de rivières, zones humides||FIN
Bécasseau sanderling||Calidris alba|Sanderling|CHARADRIIFORMES: Scolopacidae|20|Limicoles||autres becs droits|noir|||||brun||Dos, tête et gorge brun roux en plumage nuptial, moucheté de noir et de blanc. Gris l'hiver, face presque blanche. Long bec fin et noir, pattes noires.||Littoral|Toundra||FIN
Bécasseau variable||Calidris alpina|Dunlin|CHARADRIIFORMES: Scolopacidae|18|Limicoles||droit et long|noir||noir|||brun|noir|Ventre noir l'été. Gorge striée. En hiver, pas de tache noire sur le ventre et les parties brunes deviennent grises.||Littoral|||FIN
Bécasseau violet||Calidris maritima|Purple Sandpiper|CHARADRIIFORMES: Scolopacidae|21|Limicoles||droit et long|noir|rouge/orange|jaune||moucheté|brun||Dos brun violacé en été, ventre pâle à la gorge mouchetée. Plus sombre l'hiver. Bec à base orangée et à bout noir, fin et long.||Littoral|Toundra||FIN
Bécassine des marais||Gallinago gallinago|Common Snipe|CHARADRIIFORMES: Scolopacidae|27|Limicoles||droit et long|noir|rouge/orange||jaune||brun||Dos et tête couleur de feuillage avec des bandes blanches, flancs striés de noir, ventre blanc. Très long bec fin, orangé et noir. Pattes jaunes. En vol nuptial, les ailes produisent une sorte de bêlement.||Bords de rivières, zones humides|||FIN
Bécassine double||Gallinago media|Great Snipe|CHARADRIIFORMES: Scolopacidae|28|Limicoles||droit et long||||||brun||Dos et tête couleur de feuillage, avec des bandes crèmes et quelques barres blanches sur les ailes. Ventre blanc aux flancs striés de brun et à la gorge mouchetée. Très long bec fin et noirâtre.|Rare en Europe occidentale.|Bords de rivières, zones humides|||FIN
Bécassine sourde||Lymnocryptes minimus|Jack Snipe|CHARADRIIFORMES: Scolopacidae|19|Limicoles||droit et long||||||brun||Dos et tête brunes, couleur de feuillage sombre, avec des bandes crèmes. Ventre blanc, gorge mouchetée. Très long bec fin, à base jaune et à bout noir. Pattes jaunâtres.||Bords de rivières, zones humides|||FIN
Bergeronnette citrine||Motacilla citreola|Citrine Wagtail|PASSERIFORMES: Motacillidae|18|Passereaux||fin et court|noir||noir|||gris|jaune|Tête et ventre jaunes chez le mâle. Chez la femelle, gorge et ventre jaunes. Pas de jaune chez le jeune. Le dos est gris noir, avec quelques plumes gris clair, les flancs sont gris clair. Bec et pattes noirs. Queue assez longue.||Bords de rivières, zones humides|||FIN
Bergeronnette des ruisseaux||Motacilla cinerea|Gray Wagtail|PASSERIFORMES: Motacillidae|18|Passereaux||fin et court|||brun||queue longue|gris|jaune|Dos et tête gris sombre, bout des ailes noires, sourcil blanc. Ventre et croupion jaunes. Bec noir, pattes brunes. Très longue queue. Sous le bec, bavette noire chez l'adulte mâle et blanche chez la femelle.||Bords de rivières, zones humides|||FIN
Bergeronnette grise||Motacilla alba|White Wagtail|PASSERIFORMES: Motacillidae|18|Passereaux||fin et court|noir||noir||queue longue|gris||Calotte et bavette noires, front et joues blanches, dos gris prolongé d'une longue queue noire. Barre blanche sur les ailes, ventre blanc. Bec et pattes noirs. Les parties noires chez le mâle sont gris sombre chez la femelle.||Bords de rivières, zones humides|Champs et bocages||FIN
Bergeronnette printanière||Motacilla flava|Western Yellow Wagtail|PASSERIFORMES: Motacillidae|17|Passereaux||fin et court|noir||noir|||jaune||Dos gris olivâtre, tête grise avec un sourcil blanc bien marqué, ventre entièrement jaune, pattes et bec noirs.||Bords de rivières, zones humides|||FIN
Bernache à cou roux||Branta ruficollis|Red-breasted Goose|ANSERIFORMES: Anatidae|55|Cygnes, oies, canards||canard|noir||noir|||noir|rouge/orange|Dos et ventre noirs. Calotte et nuque noires. Bande noire sur l'oeil. Tache blanche entre l'oeil et le bec ainsi que sur les ailes. Joues rousses. Cou et gorge roux soulignés d'un collier blanc. Bec et pattes brunâtres.||Forêts et landes|||FIN
Bernache cravant||Branta bernicla|Brant|ANSERIFORMES: Anatidae|58|Cygnes, oies, canards||canard|noir||noir|||gris||Tête et cou noirs. Ventre clair ou gris sombre selon les régions. Dos gris. Flancs blancs tigrés. Croupion blanc. Marque blanche au niveau du cou. Bec noir.|Espèce migratrice. En été, niche dans des régions de toundra arctique (Sibérie, Groenland). En automne et hiver, on la trouve sur les côtes bretonnes et de la Mer du Nord.|Littoral|||FIN
Bernache du Canada||Branta canadensis|Canada Goose|ANSERIFORMES: Anatidae|95|Cygnes, oies, canards||canard|noir||noir|||gris||Tête et cou noirs à l'exception d'une tache sur le menton. Dos et flancs bruns. Gorge et croupion blancs. Bec noir.||Bords de rivières, zones humides|||FIN
Bernache nonnette||Branta leucopsis|Barnacle Goose|ANSERIFORMES: Anatidae|63|Cygnes, oies, canards||canard|noir||noir|||gris||Joues et front blancs. Dos gris barré de noir. Calotte, cou et gorge noirs. Flancs grisâtres. Bec noir.||Bords de rivières, zones humides|Littoral||FIN
Bihoreau gris|Héron bihoreau|Nycticorax nycticorax|Black-crowned Night-Heron|PELECANIFORMES: Ardeidae|60|Grands échassiers||autres becs droits|noir||jaune|||noir||Dos et calotte gris/noirs. Cou et ventre blancs. Ailes grises. Deux longues plumes blanches derrière la tête. Pattes jaunâtres. Oeil rouge. Bec long, épais et noir.||Bords de rivières, zones humides|||FIN
Blongios nain||Ixobrychus minutus|Little Bittern|PELECANIFORMES: Ardeidae|35|Grands échassiers||droit et long|jaune|noir|jaune|||brun|noir|Calotte, dos et bord des ailes noirs. Ventre blanc. Cou et ventre blanchâtres. Pattes jaunes. Long bec jaune, noirâtre sur le dessus.||Bords de rivières, zones humides|||FIN
Bondrée apivore||Pernis apivorus|European Honey-buzzard|ACCIPITRIFORMES: Accipitridae|55|Rapaces||crochu|noir||jaune|||brun||Dos brun. Poitrine mouchetée. Queue dotée de trois barres sombres. Bec crochu à base jaune et à bout noir.||Champs et bocages|Forêts et landes||FIN
Bouscarle de Cetti||Cettia cetti|Cetti's Warbler|PASSERIFORMES: Cettiidae|14|Passereaux||fin et court||||||brun||Dos brun. Ventre plus clair. Bec et pattes brunâtres. Sourcil clair, peu marqué.||Bords de rivières, zones humides|||FIN
Bouvreuil pivoine||Pyrrhula pyrrhula|Eurasian Bullfinch|PASSERIFORMES: Fringillidae|16|Passereaux||épais et court|noir|||||gris|rouge/orange|Calotte noire. Ventre et joue rouges. Queue et bout des ailes noir. Dos gris et croupion blanc. Chez la femelle, les parties rouges sont brunes. Bec épais et noir. ||Forêts et landes|||FIN
Bruant cendrillard||Emberiza caesia|Cretzschmar's Bunting|PASSERIFORMES: Emberizidae|16|Passereaux||épais et court|jaune||jaune|||brun|rouge/orange|Tête et gorge grises. Ventre roux. Dos brun. Bavette rousse. Bec épais et jaune.||Milieu sec ou désertique|||FIN
Bruant des neiges||Plectrophenax nivalis|Snow Bunting|PASSERIFORMES: Emberizidae|16|Passereaux||épais et court|noir||noir|||blanc||Dos et queue noirs. Tête et ventre blancs. Bec épais et noir. Marques blanches sur les ailes. En hiver, le plumage est brun et le bec est jaune. ||Montagnes et roches|Littoral||FIN
Bruant des roseaux||Emberiza schoeniclus|Reed Bunting|PASSERIFORMES: Emberizidae|15|Passereaux||épais et court|noir||noir|||brun|noir|Dos brun, rayé de noir. Tête et gorge noires. Moustaches blanches. Ventre blanc. Collier blanc. Bec épais et noir.||Bords de rivières, zones humides|Forêts et landes||FIN
Bruant fou||Emberiza cia|Rock Bunting|PASSERIFORMES: Emberizidae|16|Passereaux||épais et court|noir|||||brun||Dos brun. Tête grise, rayée noir. Gorge grise. Ventre roux. Bec épais noirâtre.||Montagnes et roches|||FIN
Bruant jaune||Emberiza citrinella|Yellowhammer|PASSERIFORMES: Emberizidae|16|Passereaux||épais et court|noir|||||brun|jaune|Tête et gorge jaunes. Dos brun jaunâtre. Bec épais noirâtre.||Champs et bocages|Forêts et landes||FIN
Bruant lapon||Calcarius lapponicus|Lapland Longspur|PASSERIFORMES: Calcariidae|15|Passereaux||épais et court|jaune||noir|||brun|noir|Dos brun-noir mêlé de blanc et de brun pâle. En plumage estival, le mâle a la calotte, les joues et la gorge noires, séparées du reste du corps par une bande blanche, la nuque rousse, et le ventre blanc. Bec jaune épais. Les parties noires deviennent brunes en plumage hivernal. La femelle est entièrement brune.||Toundra|Littoral||FIN
Bruant mélanocéphale||Emberiza melanocephala|Black-headed Bunting|PASSERIFORMES: Emberizidae|16|Passereaux||épais et court||||||jaune|noir|Dos brun, extrémités des plumes gris sombre. La calotte et les joues sont noires, le ventre, la gorge sont jaunes, avec un collier qui remonte sur la nuque. Bec épais, brunâtre.|Europe du Sud. |Champs et bocages|||FIN
Bruant ortolan||Emberiza hortulana|Ortolan Bunting|PASSERIFORMES: Emberizidae|16|Passereaux||épais et court|rouge/orange||rouge/orange|||brun|gris|Dos brun, tête grise, cercle oculaire blanc, ventre roux pâle. Moustache et gorge jaune pâle. Bec orange épais, pattes orange.||Champs et bocages|Forêts et landes||FIN
Bruant proyer||Emberiza calandra|Corn Bunting|PASSERIFORMES: Emberizidae|18|Passereaux||épais et court|jaune|||||brun||Dos brun, poitrine blanche striée verticalement, bec épais jaunâtre.||Champs et bocages|Bords de rivières, zones humides|Miliaria calandra|FIN
Bruant zizi||Emberiza cirlus|Cirl Bunting|PASSERIFORMES: Emberizidae|16|Passereaux||épais et court|noir|||||brun|jaune|Dos brun roux mêlé de noir et de blanc, tête grise avec deux bandes jaunes au-dessus et en-dessous de l'oeil. Bavette gris noir soulignée par une bande jaune. Ventre jaunâtre strié de brun. Bec épais noir.||Forêts et landes|Milieu méditerranéen||FIN
Busard cendré|Busard Montagu|Circus pygargus|Montagu's Harrier|ACCIPITRIFORMES: Accipitridae|44|Rapaces||crochu|noir||rouge/orange|||gris||Tête, dos et gorge gris. Chez le mâle, bout des ailes noir. Ventre blanc moucheté de brun. Femelle brune. Mâle et femelle ont le croupion blanc. Bec crochu à base jaune et à bout noir. Pattes orange.||Champs et bocages|||FIN
Busard des roseaux|Busard harpaye|Circus aeruginosus|Eurasian Marsh-Harrier|ACCIPITRIFORMES: Accipitridae|52|Rapaces||crochu|noir|jaune|rouge/orange|||brun||Le mâle a le ventre roux et le dos brun. Ailes grises et brunes à l'exception du bout noir. Femelle plus sombre avec une tache blanche sous le bec. Bec crochu noirâtre, pattes orange.||Bords de rivières, zones humides|||FIN
Busard pâle||Circus macrourus|Pallid Harrier|ACCIPITRIFORMES: Accipitridae|45|Rapaces||crochu|noir|jaune|jaune|||gris|blanc|Chez le mâle, dos gris, bout des ailes noir, dessous blanc. Femelle brune. Bec crochu à base jaune et à bout noir. Pattes jaunes.||Champs et bocages|||FIN
Busard Saint-Martin||Circus cyaneus|Northern Harrier|ACCIPITRIFORMES: Accipitridae|47|Rapaces||crochu|noir||rouge/orange|||gris||Dos et tête grises. Chez le mâle, bout des ailes noir. Bout de la queue barré de noir. Femelle brune. Mâle et femelle ont le croupion blanc. Bec crochu noir. Pattes orange.||Champs et bocages|||FIN
Buse féroce||Buteo rufinus|Long-legged Buzzard|ACCIPITRIFORMES: Accipitridae|57|Rapaces||crochu|noir|jaune|jaune|||brun||La coloration des adultes est plus ou moins foncée, mais le dos est brun et le dessous du corps est généralement roux. Queue en éventail. Bec crochu à base jaune et à bout noir.||Milieu sec ou désertique|||FIN
Buse pattue||Buteo lagopus|Rough-legged Hawk|ACCIPITRIFORMES: Accipitridae|55|Rapaces||crochu|noir||jaune|||brun||Coloration variable selon les adultes. Dessous des ailes blanc. Bout des ailes et de la queue noir. Queue en éventail. Bec crochu noir à base jaune. Pattes couvertes de plumes jusqu'aux serres jaunes.||Toundra|Champs et bocages||FIN
Buse variable||Buteo buteo|Common Buzzard|ACCIPITRIFORMES: Accipitridae|54|Rapaces||crochu|noir||jaune|||brun||Dos généralement brun foncé. Bout des ailes noir. Il existe des adultes clairs au ventre et au dessous des ailes blancs, et des individus foncés complètement bruns. Queue en éventail. Bec crochu noir à base jaune. Pattes jaunes.||Champs et bocages|||FIN
Butor étoilé||Botaurus stellaris|Eurasian Bittern|PELECANIFORMES: Ardeidae|76|Grands échassiers||autres becs droits|||vert|||brun||Corps brun. Dos strié de noir. Calotte noire. Bec jaunâtre, épais et long. Pattes verdâtres.||Bords de rivières, zones humides|||FIN
Caille des blés||Coturnix coturnix|Common Quail|GALLIFORMES: Phasianidae|18|Gallinacés||fin et court|noir|||||brun||Dos brun mêlé de noir et de crème, flancs mêlés de blanc, ventre blanc. Grand sourcil crème allant jusqu'à la nuque. Tache noire sous le menton, gorge blanchâtre, moustache blanche.||Champs et bocages|||FIN
Canard chipeau||Anas strepera|Gadwall|ANSERIFORMES: Anatidae|51|Cygnes, oies, canards||canard|noir|||||gris||Tête brune. Corps gris, quelques plumes brunes sur le dos, croupion noir et miroir blanc. Le mâle a le bec noir et la femelle a le bec orangé. Elle est brune avec un miroir blanc et un plumage en écailles.||Bords de rivières, zones humides|||FIN
Canard colvert||Anas platyrhynchos|Mallard|ANSERIFORMES: Anatidae|58|Cygnes, oies, canards||canard|jaune|||rouge/orange||gris|vert|Tête verte, collier blanc, gorge brune. Corps gris avec quelques brunes. Croupion noir avec une plume blanche. Bec jaune, pattes orange. Femelle au bec orange, entièrement brune avec un miroir violet.||Bords de rivières, zones humides|Littoral||FIN
Canard mandarin||Aix galericulata|Mandarin Duck|ANSERIFORMES: Anatidae|43|Cygnes, oies, canards||canard|rouge/orange|blanc||||brun||Le mâle est impossible à confondre en raison de ses couleurs vives (brun, blanc, vert, bleu, reflets violets) et de l'agencement de ces plumes. La femelle est grise avec les flancs tachetés.||Bords de rivières, zones humides|||FIN
Canard pilet||Anas acuta|Northern Pintail|ANSERIFORMES: Anatidae|66|Cygnes, oies, canards||canard|noir||||queue longue|gris|brun|Chez le mâle, tête et nuque brunes, gorge blanche blanc qui se prolonge en une pointe blanche qui remonte entre la joue et la nuque. Flancs gris, dos gris avec des plumes noires bordées de crème. Croupion noir précédé de quelques plumes crème, longue queue noire. La femelle a la tête brune, les flancs brun pâle mêlé de blanc, le dos brun sombre, avec des plumes bordées de roux. Le bec est noir chez les deux.||Bords de rivières, zones humides|Littoral||FIN
Canard siffleur||Anas penelope|Eurasian Wigeon|ANSERIFORMES: Anatidae|46|Cygnes, oies, canards||canard|gris|||||gris|rouge/orange|Chez le mâle, tête rousse, barrée de jaune pâle sur le dessus. Gorge brun rosé. Dos gris, croupion noir. Femelle brune. Bec gris à bout noir.||Bords de rivières, zones humides|Littoral||FIN
Canard souchet||Anas clypeata|Northern Shoveler|ANSERIFORMES: Anatidae|51|Cygnes, oies, canards||canard|noir|||||noir|rouge/orange|Chez le mâle, tête vert foncé, gorge blanche, flancs roux, croupion et dos noirs mêlés de plumes blanche.. Identifiable à son bec démesuré, noir chez le mâle, orangé chez la femelle, qui a par ailleurs un plumage brun mêlé de noir.||Bords de rivières, zones humides|||FIN
Cassenoix moucheté||Nucifraga caryocatactes|Eurasian Nutcracker|PASSERIFORMES: Corvidae|32|Corvidés||autres becs droits|noir||noir||moucheté|brun||Dos, ventre, gorge et joues brun moucheté de blanc. Queue et bouts des ailes noirs, la queue étant de plus bordée de blanc. Croupion blanc. Epais bec noir. ||Montagnes et roches|||FIN
